Word,Frequency,Probability
knowledge,288,0.02376
true,129,0.01064
sense-data,114,0.00941
object,102,0.00842
belief,100,0.00825
physical,96,0.00792
objects,94,0.00776
relation,92,0.00759
sense,89,0.00734
table,87,0.00718
truth,87,0.00718
mind,83,0.00685
experience,76,0.00627
acquaintance,75,0.00619
space,72,0.00594
philosophy,70,0.00578
acquainted,70,0.00578
proposition,61,0.00503
time,60,0.00495
question,59,0.00487
colour,56,0.00462
universals,56,0.00462
priori,55,0.00454
exist,54,0.00446
principle,54,0.00446
terms,53,0.00437
reason,53,0.00437
law,53,0.00437
existence,52,0.00429
view,51,0.00421
minds,50,0.00413
called,49,0.00404
beliefs,48,0.00396
principles,47,0.00388
truths,47,0.00388
nature,46,0.00380
real,44,0.00363
relations,42,0.00347
description,42,0.00347
sort,42,0.00347
matter,42,0.00347
judgement,40,0.00330
doubt,38,0.00314
people,38,0.00314
word,38,0.00314
form,35,0.00289
philosophers,34,0.00281
instance,34,0.00281
person,33,0.00272
exists,33,0.00272
mental,33,0.00272
complex,33,0.00272
ideas,32,0.00264
certainty,32,0.00264
common,32,0.00264
sun,31,0.00256
laws,30,0.00248
life,30,0.00248
universe,30,0.00248
propositions,30,0.00248
logic,30,0.00248
science,29,0.00239
universal,29,0.00239
self-evidence,29,0.00239
chapter,28,0.00231
answer,27,0.00223
false,27,0.00223
actual,27,0.00223
falsehood,27,0.00223
electronic,27,0.00223
questions,26,0.00215
prove,26,0.00215
argument,26,0.00215
suppose,26,0.00215
particulars,26,0.00215
regard,25,0.00206
future,25,0.00206
body,25,0.00206
subject,25,0.00206
shape,24,0.00198
difficult,23,0.00190
aware,23,0.00190
memory,23,0.00190
senses,22,0.00182
supposed,22,0.00182
logical,22,0.00182
tree,22,0.00182
self-evident,22,0.00182
theory,21,0.00173
consists,21,0.00173
private,21,0.00173
judgements,21,0.00173
instances,21,0.00173
sensations,20,0.00165
understand,20,0.00165
degree,20,0.00165
contradiction,20,0.00165
intuitive,20,0.00165
light,19,0.00157
property,19,0.00157
independent,19,0.00157
believing,19,0.00157
result,19,0.00157
connexion,19,0.00157
so-and-so,19,0.00157
inductive,19,0.00157
mortal,19,0.00157
probability,18,0.00149
reasons,18,0.00149
proved,18,0.00149
mere,18,0.00149
account,18,0.00149
red,18,0.00149
probable,18,0.00149
deduced,18,0.00149
agreement,18,0.00149
loves,18,0.00149
copyright,18,0.00149
derived,17,0.00140
wholly,17,0.00140
appears,17,0.00140
applies,17,0.00140
sensation,17,0.00140
definite,17,0.00140
sense-datum,17,0.00140
involved,17,0.00140
idea,17,0.00140
held,17,0.00140
conclusion,17,0.00140
data,17,0.00140
believes,17,0.00140
single,17,0.00140
sight,16,0.00132
attempt,16,0.00132
white,16,0.00132
properties,16,0.00132
arguments,16,0.00132
capable,16,0.00132
concerned,16,0.00132
definition,16,0.00132
induction,15,0.00124
experiences,15,0.00124
feel,15,0.00124
evident,15,0.00124
plain,15,0.00124
inference,15,0.00124
involve,15,0.00124
impossible,15,0.00124
error,15,0.00124
i.e,15,0.00124
premisses,15,0.00124
whiteness,15,0.00124
derivative,15,0.00124
natural,14,0.00116
statement,14,0.00116
touch,14,0.00116
difficulty,14,0.00116
moment,14,0.00116
opposed,14,0.00116
led,14,0.00116
opinion,14,0.00116
set,14,0.00116
human,14,0.00116
contrary,14,0.00116
based,14,0.00116
empirical,14,0.00116
apparent,13,0.00107
considered,13,0.00107
collection,13,0.00107
believed,13,0.00107
depend,13,0.00107
admit,13,0.00107
knowing,13,0.00107
contemplation,13,0.00107
study,12,0.00099
colours,12,0.00099
deny,12,0.00099
appearance,12,0.00099
depends,12,0.00099
regarded,12,0.00099
motion,12,0.00099
perception,12,0.00099
blind,12,0.00099
judge,12,0.00099
remain,12,0.00099
applicable,12,0.00099
expectations,12,0.00099
unity,12,0.00099
